,idade,qx_mil,dx,lx,Lx,Tx,expx,ano
1322,35,2.4124673767011258,226.45218064512525,93867.45820156217,93754.2321112396,3944945.467094853,42.026763509712254,2009
1323,36,2.5410345902631564,237.94503536619072,93641.00602091705,93522.03350323395,3851191.2349836132,41.12718774212394,2009
1324,37,2.686627809602569,250.93926114578565,93403.06098555085,93277.59135497795,3757669.20148038,40.230685823687075,2009
1325,38,2.8511332330598864,265.5891099784911,93152.12172440506,93019.32716941582,3664391.6101254015,39.33771493650651,2009
1326,39,3.034676009469363,281.8805321277938,92886.53261442657,92745.59234836267,3571372.282955986,38.44876304922273,2009
1327,40,3.2350505532552343,299.58073095284914,92604.65208229878,92454.86171682236,3478626.6906076237,37.56427579379198,2009
1328,41,3.4532073647918375,318.7485521981038,92305.07135134593,92145.69707524689,3386171.828890801,36.68456975675612,2009
1329,42,3.693152928516278,339.7195574291165,91986.32279914783,91816.46302043328,3294026.131815553,35.80995556272056,2009
1330,43,3.9565768598066997,362.60682966607,91646.60324171872,91465.29982688569,3202209.6687951204,34.94084401960064,2009
1331,44,4.242998214487321,387.31783378760645,91283.99641205266,91090.33749515886,3110744.368968235,34.0776531619677,2009
1332,45,4.557604565754598,414.271117300229,90896.67857826505,90689.54301961494,3019654.0314730755,33.220730159827056,2009
1333,46,4.8944081750939885,442.8578347791315,90482.40746096482,90260.97854357526,2928964.488453461,32.370541087968405,2009
1334,47,5.242141426060072,472.00005307921964,90039.54962618569,89803.54959964608,2838703.509909886,31.527295746094246,2009
1335,48,5.596563715041352,501.27049798601524,89567.54957310647,89316.91432411346,2748899.9603102393,30.69080234316942,2009
1336,49,5.966703063039502,531.4320401710523,89066.27907512046,88800.56305503493,2659583.0459861266,29.860718036092827,2009
1337,50,6.3594798371704435,563.0355746057302,88534.8470349494,88253.32924764653,2570782.4829310915,29.036956283623184,2009
1338,51,6.794181810016296,597.6964812180502,87971.81146034367,87672.96321973464,2482529.1536834445,28.219597987959247,2009
1339,52,7.289313673945469,636.8973310662241,87374.11497912562,87055.6663135925,2394856.1904637096,27.409218291205125,2009
1340,53,7.858326731408374,681.6093960517313,86737.21764805939,86396.41295003353,2307800.5241501173,26.60680831974728,2009
1341,54,8.494517362022462,731.0008583960825,86055.60825200766,85690.10782280962,2221404.111200084,25.81358910037405,2009
1342,55,9.18592176241294,783.7851679263166,85324.60739361157,84932.71480964842,2135714.003377274,25.0304580192792,2009
1343,56,9.917604068582602,838.4424024667745,84540.82222568526,84121.60102445187,2050781.2885676266,24.257881986207565,2009
1344,57,10.68617720141278,894.4584629708705,83702.37982321849,83255.15059173305,1966659.687543175,23.49586345928048,2009
1345,58,11.486513622803058,951.1743167804885,82807.92136024762,82332.33420185739,1883404.5369514416,22.744255694547356,2009
